"","Fecha_I","Hora_I","Des-I","Emp-I","Fecha_O","Hora_O","Des-O","Emp-O","DIA","MES","DIANOM","OPERA","SIGLADES","temporada_alta","diff_min","periodo_dia","atraso_15"
"1","2017-01-01","23:30:00","KMIA","AAL","2017-01-01","23:33:00","KMIA","AAL",1,1,"Domingo","American Airlines","Miami",1,3,"noche",0
"2","2017-01-02","23:30:00","KMIA","AAL","2017-01-02","23:39:00","KMIA","AAL",2,1,"Lunes","American Airlines","Miami",1,9,"noche",0
"3","2017-01-03","23:30:00","KMIA","AAL","2017-01-03","23:39:00","KMIA","AAL",3,1,"Martes","American Airlines","Miami",1,9,"noche",0
"4","2017-01-04","23:30:00","KMIA","AAL","2017-01-04","23:33:00","KMIA","AAL",4,1,"Miercoles","American Airlines","Miami",1,3,"noche",0
"5","2017-01-05","23:30:00","KMIA","AAL","2017-01-05","23:28:00","KMIA","AAL",5,1,"Jueves","American Airlines","Miami",1,2,"noche",0
"6","2017-01-06","23:30:00","KMIA","AAL","2017-01-07","0:04:00","KMIA","AAL",7,1,"Sabado","American Airlines","Miami",1,1406,"noche",1
"7","2017-01-07","23:30:00","KMIA","AAL","2017-01-07","23:25:00","KMIA","AAL",7,1,"Sabado","American Airlines","Miami",1,5,"noche",0
"8","2017-01-08","23:30:00","KMIA","AAL","2017-01-08","23:25:00","KMIA","AAL",8,1,"Domingo","American Airlines","Miami",1,5,"noche",0
"9","2017-01-09","23:30:00","KMIA","AAL","2017-01-10","0:10:00","KMIA","AAL",10,1,"Martes","American Airlines","Miami",1,1400,"noche",1
"10","2017-01-11","23:30:00","KMIA","AAL","2017-01-12","0:39:00","KMIA","AAL",12,1,"Jueves","American Airlines","Miami",1,1371,"noche",1
"11","2017-01-14","23:30:00","KMIA","AAL","2017-01-14","23:21:00","KMIA","AAL",14,1,"Sabado","American Airlines","Miami",1,9,"noche",0
"12","2017-01-16","23:30:00","KMIA","AAL","2017-01-16","23:44:00","KMIA","AAL",16,1,"Lunes","American Airlines","Miami",1,14,"noche",0
"13","2017-01-18","23:30:00","KMIA","AAL","2017-01-18","23:23:00","KMIA","AAL",18,1,"Miercoles","American Airlines","Miami",1,7,"noche",0
